id,quote,author
0;"O que você procura está procurando você.";"Rumi"
1;"Uma meta é um sonho com um prazo.";"Napoleon Hill"
2;"Tente mover o mundo - o primeiro passo será mover a si mesmo.";"Platão"
3;"Disciplina é a ponte entre metas e realizações.";"Jim Rohn"
4;"Sorte é o que acontece quando a preparação encontra a oportunidade.";"Elmer Letterman"
5;"Quem quer vencer um obstáculo deve armar-se da força do leão e da prudência da serpente.";"Píndaro"
6;"Uma longa viagem começa com um único passo.";"Lao Tzu"
7;"Existe apenas um canto do universo que você pode ter certeza de aperfeiçoar, que é você mesmo.";"Aldous Huxley"
8;"Você precisa fazer aquilo que pensa que não é capaz de fazer.";"Eleanor Roosevelt"
9;"Se você quiser que as coisas mudem, primeiro você tem que mudar.";"Rachel Bright"
10;"A chave do sucesso é começar antes de estar pronto.";"Marie Forleo"
11;"Ganhar não é tudo, mas querer ganhar é.";"Vince Lombardi"
12;"Algumas pessoas querem que aconteça, algumas esperam que aconteça, outras fazem acontecer.";"Michael Jordan"
13;"Não tenha medo de desistir do que é bom para ir atrás do que é ótimo.";"John D. Rockefeller"
14;"Somos o que repetidamente fazemos. A excelência, portanto, não é um feito, mas um hábito.";"Aristóteles"
15;"Acredite em milagres, mas não dependa deles.";"Immanuel Kant"
16;"As realizações de hoje eram as impossibilidades de ontem.";"Robert H. Schuller"
17;"Um vencedor é um sonhador que nunca desiste.";"Nelson Mandela"
18;"Se você quer mudar os frutos, primeiro tem que trocar as raízes – quando deseja alterar o que está visível, antes deve modificar o que está invisível.";"T. Harv Eker"
19;"Acredite em si próprio e chegará um dia em que os outros não terão outra escolha senão acreditar com você.";"Cynthia Kersey"
20;"Você pode encontrar muitas derrotas, mas você não pode se deixar derrotar.";"Maya Angelou"
21;"Ser você mesmo em um mundo que está constantemente tentando fazer de você outra coisa é a maior realização.";"Ralph Waldo Emerson"
22;"Você tem de agir. E você tem que estar disposto a fracassar... Se você tem medo de fracassar, não irá muito longe.";"Steve Jobs"
23;"A verdadeira motivação não é aquilo que te anima, mas aquilo que te transforma...";"Bárbara Coré"
24;"Toda ação humana, quer se torne positiva ou negativa, precisa depender de motivação.";"Dalai Lama"
25;"Eu faço da dificuldade a minha motivação. A volta por cima vem na continuação.";"Charlie Brown Jr."
26;"Tudo o que um sonho precisa para ser realizado é alguém que acredite que ele possa ser realizado.";"Roberto Shinyashiki"
27;"Lute com determinação, abrace a vida com paixão, perca com classe e vença com ousadia, porque o mundo pertence a quem se atreve e a vida é muito para ser insignificante.";"Augusto Branco"
28;"A diferença entre o possível e o impossível está na vontade humana.";"Pasteur"
29;"Você consegue o melhor dos outros quando você dá o melhor de você mesmo.";"Harry Firestone"
30;"Tente de novo. Fracasse de novo. Fracasse melhor.";"Samuel Beckett"
31;"O pessimista vê dificuldades em todas as oportunidades. O otimista vê oportunidades em todas as dificuldades.";"Bertram Carr"
32;"Faça o que pode, com o que você tem, no lugar onde você está...";"Theodore Roosevelt"
33;"Você não precisa ser ótimo para começar, mas precisa começar para ser ótimo.";"Zig Ziglar"
34;"O melhor momento para plantar uma árvore foi há 20 anos. O segundo melhor momento é agora.";"Provérbio chinês"
35;"É difícil vencer uma pessoa que nunca desiste.";"Babe Ruth"
36;"Tudo o que você pode imaginar é real.";"Pablo Picasso"
37;"A felicidade não é algo pronto. Ela surge de suas próprias ações.";"Dalai Lama"
38;"Todos os seus sonhos podem se tornar realidade se você tiver coragem para persegui-los.";"Walt Disney"
39;"Ninguém é tão grande que não possa aprender, nem tão pequeno que não possa ensinar.";"Esopo"
40;"O homem que não tem imaginação, não tem asas.";"Muhammad Ali"
41;"Ser feliz sem motivo é a mais autêntica forma de felicidade.";"Carlos Drummond de Andrade"
42;"Não fique olhando o relógio, faça como ele: mexa-se.";"Sam Levenson"
43;"Há sempre espaço no topo.";"Daniel Webster"
